cid000000085	abdominal cramps
cid000000085	amblyopia
cid000000085	anemia
cid000000085	anorexia
cid000000085	anxiety
cid000000085	arrhythmia
cid000000085	asthenia
cid000000085	atrial fibrillation
cid000000085	back pain
cid000000085	bronchitis
cid000000085	chest pain
cid000000085	constipation
cid000000085	cough
cid000000085	diarrhea
cid000000085	dizziness
cid000000085	taste perversion
cid000000085	dyspepsia
cid000000085	dyspnea
cid000000085	edema
cid000000085	rash
cid000000085	eye disorders
cid000000085	fatigue
cid000000085	fever
cid000000085	gastritis
cid000000085	headache
cid000000085	hemorrhage
cid000000085	hypercalcemia
cid000000085	hyperkalemia
cid000000085	hypersensitivity
cid000000085	hypertension
cid000000085	hypotension
cid000000085	infection
cid000000085	flu
cid000000085	leg cramps
cid000000085	melena
cid000000085	cramps
cid000000085	hypertonia
cid000000085	nasopharyngitis
cid000000085	nausea
cid000000085	pain
cid000000085	palpitations
cid000000085	parathyroid
cid000000085	paresthesia
cid000000085	pharyngitis
cid000000085	pruritus
cid000000085	renal failure
cid000000085	respiratory disorder
cid000000085	perennial allergic rhinitis
cid000000085	seizures
cid000000085	sinusitis
cid000000085	stomach
cid000000085	syncope
cid000000085	tachycardia
cid000000085	tics
cid000000085	vascular disease
cid000000085	vertigo
cid000000085	vomiting
cid000000085	weight gain
cid000000085	weight loss
cid000000085	dry mouth
cid000000085	body odor
cid000000085	peripheral edema
cid000000085	injection site reaction
cid000000085	gastric stasis
cid000000085	myalgia
cid000000085	fibrillation
cid000000085	gastrointestinal symptoms
cid000000085	hypervolemia
cid000000085	insomnia
cid000000085	myasthenia
cid000000085	drug dependence
cid000000085	somnolence
cid000000119	anaphylaxis
cid000000119	angioedema
cid000000119	pain
cid000000119	urticaria
cid000000119	tenderness
cid000000137	carcinoma
cid000000137	edema
cid000000137	rash
cid000000137	hemorrhage
cid000000137	herpes
cid000000137	herpes simplex
cid000000137	enlargement
cid000000137	pain
cid000000137	pigmentation
cid000000137	pruritus
cid000000137	seborrhea
cid000000137	skin disorder
cid000000137	ulcer
cid000000137	erythema
cid000000137	skin hypertrophy
cid000000137	protoporphyria
cid000000137	hyperpigmentation
cid000000137	crusting
cid000000137	wheal
cid000000137	tenderness
cid000000137	desquamation
cid000000137	pustules
cid000000137	dysesthesia
cid000000137	maculopapular rash
cid000000137	hyperkinesia
cid000000137	stinging
cid000000137	skin carcinoma
cid000000137	acne
cid000000143	alopecia
cid000000143	anorexia
cid000000143	carcinoma
cid000000143	colorectal carcinoma
cid000000143	constipation
cid000000143	dermatitis
cid000000143	diarrhea
cid000000143	rash
cid000000143	extravasation
cid000000143	fatigue
cid000000143	hypersensitivity
cid000000143	infection
cid000000143	lethargy
cid000000143	leukopenia
cid000000143	nausea
cid000000143	neutropenia
cid000000143	pruritus
cid000000143	seizures
cid000000143	stomatitis
cid000000143	thrombocytopenia
cid000000143	erythema
cid000000143	urticaria
cid000000143	vomiting
cid000000143	wheezing
cid000000143	malaise
cid000000143	anaphylactoid reactions
cid000000143	febrile neutropenia
cid000000143	sensitization
cid000000158	abdominal pain
cid000000158	acidosis
cid000000158	amnionitis
cid000000158	arrhythmia
cid000000158	arthralgia
cid000000158	arthritis
cid000000158	back pain
cid000000158	bronchospasm
cid000000158	cardiovascular disease
cid000000158	chest pain
cid000000158	cough
cid000000158	dehydration
cid000000158	diarrhea
cid000000158	disseminated intravascular coagulation
cid000000158	dizziness
cid000000158	dyspnea
cid000000158	embolism
cid000000158	amniotic fluid embolism
cid000000158	endometritis
